Latitude,Longitude,Cluster
55.2645508,-127.6428124,4
45.963283,-66.6419017,33
49.1763542,-123.112783,-1
49.261938,-123.151123,-1
49.88955855,-97.23574396,100
43.55602758,-79.58047695,132
49.278786,-123.098796,127
49.842132,-99.9391497,85
45.8268694,-77.1134778,68
43.6471644,-79.38556364,142
43.89380235,-79.26684341,137
49.8187405,-64.3521419,-1
49.6888667,-83.6595109,-1
47.403476,-61.899131,5
45.520179,-73.563753,-1
45.42987036,-75.72678606,-1
46.0811004,-73.17849063,76
46.976427,-71.288692,-1
46.810448,-71.219443,59
46.814275,-71.184629,59
44.7065995,-63.26166053,41
46.10393465,-64.78543341,45
44.61992796,-65.75478854,-1
47.5024588,-52.7980851,13
43.6435559,-79.5656326,-1
51.09440686,-114.0136597,-1
43.7253857,-79.33233114,142
49.2392807,-121.7654037,-1
45.41471971,-64.55289505,-1
44.22547268,-76.49603868,77
45.7237354,-65.50125974,-1
45.3887634,-75.70949324,-1
48.339894,-70.990359,21
49.2512699,-124.7965195,-1
45.92199531,-64.64283339,44
46.952225,-71.04308,59
53.56571545,-113.5171718,107
53.6801332,-114.350799,-1
52.8820447,-113.2971736,-1
53.4004505,-117.5775021,9
53.535411,-113.507996,107
53.7021138,-113.382376,107
52.26207835,-113.8540778,96
46.8167691,-64.0599094,-1
50.576798,-126.907369,29
50.46389455,-104.6033547,62
45.65713555,-78.49953864,-1
52.4335554,-111.7832364,-1
49.2803099,-123.1228359,126
45.4423679,-75.810958,-1
44.0634989,-77.3990954,78
42.10126025,-83.1057214,82
45.77543323,-64.34872225,-1
46.07212795,-61.39191671,-1
46.4329441,-81.1462562,14
43.6704012,-79.381833,142
44.2292036,-76.48377824,77
45.41745,-75.70892257,124
45.71061766,-63.2859451,38
42.8623852,-80.72174047,-1
44.943776,-65.0711594,-1
52.197279,-113.238969,-1
49.89093415,-97.153417,101
45.62504339,-61.9807906,-1
47.4308649,-68.38683564,40
49.5987086,-109.4080344,51
49.20177737,-122.911292,104
45.04178711,-64.73498352,48
43.536584,-80.2265602,-1
49.8893213,-97.12171504,101
45.386702,-75.67115591,-1
45.410013,-75.67502327,-1
49.8874619,-97.1219732,101
45.5042776,-73.5705301,140
44.231354,-76.49036644,77
43.74130805,-79.41018981,141
45.48203459,-73.86986001,-1
45.565124,-74.371852,-1
43.08431467,-81.82149356,-1
50.44777751,-119.1963924,-1
51.01423945,-114.1162943,84
45.4349423,-76.3522621,-1
45.4886414,-73.59033559,131
49.2800409,-123.1249139,126
49.2593906,-123.1383072,122
46.813474,-71.213162,59
49.2799985,-123.1179808,126
48.425918,-71.182813,21
45.7406362,-81.8083636,15
44.6409598,-63.5672177,41
47.015631,-70.950516,59
48.7575013,-91.6218304,-1
